ResponseID,RecordedDate,CourseCode,CourseName,DeliveryMode,ClientType,FacilitatorCode,OverallSatisfaction,ContentQuality,FacilitatorEffectiveness,CourseRelevance,WouldRecommend,MostValuableAspect,WhatCouldImprove,AdditionalComments
SYN-208-000019,2026-08-23T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,3,3,5,3,Yes,The facilitator explained the concepts clearly with real-world case studies.,,
SYN-208-000020,2025-12-29T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,5,3,5,5,Yes,The facilitator explained the concepts clearly with real-world case studies.,,
SYN-208-000021,2026-04-26T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,5,4,5,Yes,The practical activities made the content immediately useful for my organizational role.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000022,2026-04-20T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,5,4,Yes,The course materials were comprehensive and useful reference for our team.,,The facilitator explained the concepts clearly with real-world case studies.
SYN-208-000023,2025-08-26T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,5,3,4,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000024,2026-03-26T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,4,4,3,5,Yes,The course materials were comprehensive and useful reference for our team.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000025,2025-10-03T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,4,3,4,Yes,The executive examples and industry insights were highly relevant and engaging.,,The facilitator explained the concepts clearly with real-world case studies.
SYN-208-000026,2026-03-05T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,4,5,3,Yes,The course materials were comprehensive and useful reference for our team.,Allow more dedicated time for live Q&A and cross-functional discussion.,The course materials were comprehensive and useful reference for our team.
SYN-208-000027,2025-12-01T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,5,4,2,5,Yes,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,The practical activities made the content immediately useful for my organizational role.
SYN-208-000028,2026-02-04T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,4,5,5,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000029,2025-09-25T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,4,3,5,5,Yes,The practical activities made the content immediately useful for my organizational role.,Allow more dedicated time for live Q&A and cross-functional discussion.,The practical activities made the content immediately useful for my organizational role.
SYN-208-000030,2025-12-25T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,5,4,5,4,Yes,The course materials were comprehensive and useful reference for our team.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000031,2025-12-07T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,5,5,5,5,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000032,2026-02-03T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,5,5,4,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,Allow more dedicated time for live Q&A and cross-functional discussion.,
SYN-208-000033,2026-05-26T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,4,4,3,Yes,The practical activities made the content immediately useful for my organizational role.,,The professional development session was as described.
SYN-208-000034,2025-12-25T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,4,5,3,Yes,The executive examples and industry insights were highly relevant and engaging.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000035,2025-12-06T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,2,4,4,5,No,The executive examples and industry insights were highly relevant and engaging.,,No additional comments.
SYN-208-000036,2026-08-10T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,4,4,Yes,The course materials were comprehensive and useful reference for our team.,More practical exercises and workshop activities would have helped.,
SYN-208-000037,2026-05-20T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,4,3,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,
SYN-208-000038,2026-06-30T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,4,4,3,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,More practical exercises and workshop activities would have helped.,
SYN-208-000039,2025-08-03T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,5,4,4,Yes,The course materials were comprehensive and useful reference for our team.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000040,2025-07-29T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,3,5,4,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000041,2025-08-01T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,3,4,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,"The content was very useful, but some complex modules moved too quickly.",The course materials were comprehensive and useful reference for our team.
SYN-208-000042,2026-06-23T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,4,4,4,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,The executive examples and industry insights were highly relevant and engaging.
SYN-208-000043,2026-04-21T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,3,2,4,4,No,The course materials were comprehensive and useful reference for our team.,,The professional development session was as described.
SYN-208-000044,2025-12-01T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,4,3,5,5,Yes,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000045,2025-09-18T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,4,4,3,3,Yes,The course materials were comprehensive and useful reference for our team.,,
SYN-208-000046,2026-04-21T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,3,3,4,5,Yes,The facilitator explained the concepts clearly with real-world case studies.,The online workshop platform had a minor audio connectivity delay.,The course covered all expected learning objectives.
SYN-208-000047,2026-04-01T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,4,4,5,Yes,The practical activities made the content immediately useful for my organizational role.,More practical exercises and workshop activities would have helped.,The course covered all expected learning objectives.
SYN-208-000048,2026-04-02T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,5,3,4,Yes,The practical activities made the content immediately useful for my organizational role.,,The executive examples and industry insights were highly relevant and engaging.
SYN-208-000049,2026-05-19T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,4,3,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,,No additional comments.
SYN-208-000050,2025-11-13T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,5,5,4,Yes,The course materials were comprehensive and useful reference for our team.,More Adelaide University industry case studies would improve course impact.,The executive examples and industry insights were highly relevant and engaging.
SYN-208-000051,2025-11-02T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,4,4,4,No,The facilitator explained the concepts clearly with real-world case studies.,,
SYN-208-000052,2025-08-09T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,3,5,5,5,No,The practical activities made the content immediately useful for my organizational role.,More Adelaide University industry case studies would improve course impact.,No additional comments.
SYN-208-000053,2026-02-21T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,4,5,5,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000054,2025-10-24T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,4,4,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,More practical exercises and workshop activities would have helped.,
SYN-208-000055,2025-12-06T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,5,4,4,Yes,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000056,2026-08-08T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,4,4,5,Yes,The course materials were comprehensive and useful reference for our team.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000057,2026-07-27T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,4,3,Yes,The practical activities made the content immediately useful for my organizational role.,,The course materials were comprehensive and useful reference for our team.
SYN-208-000058,2025-12-07T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,4,4,4,No,The practical activities made the content immediately useful for my organizational role.,,No additional comments.
SYN-208-000059,2026-05-31T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,3,2,3,5,Yes,The facilitator explained the concepts clearly with real-world case studies.,More practical exercises and workshop activities would have helped.,
SYN-208-000060,2025-09-08T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,5,3,5,5,Yes,The course materials were comprehensive and useful reference for our team.,Allow more dedicated time for live Q&A and cross-functional discussion.,The course covered all expected learning objectives.
SYN-208-000061,2026-08-20T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,5,4,5,Yes,The facilitator explained the concepts clearly with real-world case studies.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000062,2025-11-09T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,3,5,5,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000063,2026-07-04T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,4,4,5,Yes,The course materials were comprehensive and useful reference for our team.,More practical exercises and workshop activities would have helped.,
SYN-208-000064,2026-06-24T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,3,4,5,3,No,Interactive group discussion helped me apply strategic thinking to my workplace.,,
SYN-208-000065,2026-03-27T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,4,5,4,No,Interactive group discussion helped me apply strategic thinking to my workplace.,Allow more dedicated time for live Q&A and cross-functional discussion.,
SYN-208-000066,2026-08-13T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,5,2,5,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,,Interactive group discussion helped me apply strategic thinking to my workplace.
SYN-208-000067,2025-09-26T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,3,5,5,5,Yes,The practical activities made the content immediately useful for my organizational role.,Allow more dedicated time for live Q&A and cross-functional discussion.,Interactive group discussion helped me apply strategic thinking to my workplace.
SYN-208-000068,2025-11-19T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,5,5,4,Yes,The practical activities made the content immediately useful for my organizational role.,,
SYN-208-000069,2026-01-28T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,3,4,5,3,No,Interactive group discussion helped me apply strategic thinking to my workplace.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000070,2025-11-10T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,5,5,3,Yes,The executive examples and industry insights were highly relevant and engaging.,,The course covered all expected learning objectives.
SYN-208-000071,2026-08-08T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,4,2,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,More Adelaide University industry case studies would improve course impact.,No additional comments.
SYN-208-000072,2025-10-07T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,3,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,"The content was very useful, but some complex modules moved too quickly.",No additional comments.
SYN-208-000073,2026-03-13T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,5,4,3,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,The practical activities made the content immediately useful for my organizational role.
SYN-208-000074,2026-08-24T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,5,4,4,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,,
SYN-208-000075,2026-05-22T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,5,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,The course covered all expected learning objectives.
SYN-208-000076,2026-03-18T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,5,5,5,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,
SYN-208-000077,2025-09-17T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,4,4,3,Yes,The practical activities made the content immediately useful for my organizational role.,,Interactive group discussion helped me apply strategic thinking to my workplace.
SYN-208-000078,2025-12-17T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,4,5,4,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,,The executive examples and industry insights were highly relevant and engaging.
SYN-208-000079,2025-10-17T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,2,3,3,2,Yes,The course materials were comprehensive and useful reference for our team.,,
SYN-208-000080,2025-08-04T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,5,5,4,3,Yes,The facilitator explained the concepts clearly with real-world case studies.,"The content was very useful, but some complex modules moved too quickly.",
SYN-208-000081,2025-08-25T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,5,3,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000082,2025-09-09T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,3,4,3,4,No,The practical activities made the content immediately useful for my organizational role.,More practical exercises and workshop activities would have helped.,Interactive group discussion helped me apply strategic thinking to my workplace.
SYN-208-000083,2025-07-07T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,5,4,5,3,Yes,The facilitator explained the concepts clearly with real-world case studies.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000084,2025-09-16T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,4,4,4,Yes,The practical activities made the content immediately useful for my organizational role.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000085,2025-08-08T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,3,4,5,5,Yes,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000086,2025-09-20T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,4,4,5,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,,The course covered all expected learning objectives.
SYN-208-000087,2026-05-26T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,4,5,5,4,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,The professional development session was as described.
SYN-208-000088,2026-05-30T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,5,4,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000089,2026-02-16T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,4,3,5,Yes,The executive examples and industry insights were highly relevant and engaging.,Allow more dedicated time for live Q&A and cross-functional discussion.,
SYN-208-000090,2026-01-01T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,3,4,5,2,No,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,No additional comments.
SYN-208-000091,2026-03-24T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,3,5,3,5,No,Interactive group discussion helped me apply strategic thinking to my workplace.,More practical exercises and workshop activities would have helped.,The practical activities made the content immediately useful for my organizational role.
SYN-208-000092,2025-09-11T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,4,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,No additional comments.
SYN-208-000093,2025-09-07T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,5,4,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000094,2026-07-25T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,4,3,5,4,Yes,The course materials were comprehensive and useful reference for our team.,,No additional comments.
SYN-208-000095,2026-06-24T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,5,5,4,3,Yes,The course materials were comprehensive and useful reference for our team.,,
SYN-208-000096,2025-07-24T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,5,3,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,,The course covered all expected learning objectives.
SYN-208-000097,2026-02-27T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,5,5,4,Yes,The course materials were comprehensive and useful reference for our team.,"The content was very useful, but some complex modules moved too quickly.",The course materials were comprehensive and useful reference for our team.
SYN-208-000098,2026-04-15T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,5,3,5,4,Yes,The practical activities made the content immediately useful for my organizational role.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000099,2025-12-24T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,4,5,4,4,Yes,The practical activities made the content immediately useful for my organizational role.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000100,2026-05-21T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,5,4,5,No,The course materials were comprehensive and useful reference for our team.,,The practical activities made the content immediately useful for my organizational role.
SYN-208-000101,2026-07-02T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,2,4,5,4,No,The course materials were comprehensive and useful reference for our team.,More practical exercises and workshop activities would have helped.,
SYN-208-000102,2025-08-01T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,5,3,5,5,Yes,The executive examples and industry insights were highly relevant and engaging.,Allow more dedicated time for live Q&A and cross-functional discussion.,The facilitator explained the concepts clearly with real-world case studies.
SYN-208-000103,2026-01-29T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,4,4,5,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,The course materials were comprehensive and useful reference for our team.
SYN-208-000104,2025-09-07T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,5,3,5,4,Yes,The facilitator explained the concepts clearly with real-world case studies.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000105,2025-10-18T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,5,5,3,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000106,2026-06-28T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,4,5,5,4,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,More practical exercises and workshop activities would have helped.,The course covered all expected learning objectives.
SYN-208-000107,2025-12-18T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,4,5,5,4,Yes,Interactive group discussion helped me apply strategic thinking to my workplace.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000108,2025-11-02T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,5,4,3,2,Yes,The facilitator explained the concepts clearly with real-world case studies.,"The content was very useful, but some complex modules moved too quickly.",The facilitator explained the concepts clearly with real-world case studies.
SYN-208-000109,2026-03-31T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,5,3,4,3,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,
SYN-208-000110,2026-06-25T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,4,5,5,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,
SYN-208-000111,2026-01-05T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,4,5,4,4,Yes,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000112,2026-02-04T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,5,5,4,Yes,The practical activities made the content immediately useful for my organizational role.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000113,2026-06-11T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,4,4,5,Yes,The course materials were comprehensive and useful reference for our team.,,The course materials were comprehensive and useful reference for our team.
SYN-208-000114,2026-08-19T00:00:00,LF-205,Applied Project & Stakeholder Communication,Online,Government,FAC-022,3,4,4,3,Yes,The facilitator explained the concepts clearly with real-world case studies.,,The practical activities made the content immediately useful for my organizational role.
SYN-208-000115,2026-08-14T00:00:00,LF-310,Digital Transformation Foundations,Hybrid,Corporate,FAC-009,3,4,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,More Adelaide University industry case studies would improve course impact.,
SYN-208-000116,2026-05-26T00:00:00,LF-420,AI Literacy & Strategic Technology,Hybrid,Higher Education,FAC-031,4,4,5,4,Yes,The executive examples and industry insights were highly relevant and engaging.,,The executive examples and industry insights were highly relevant and engaging.
SYN-208-000117,2026-01-31T00:00:00,LF-515,Strategic Change Leadership,Online,Not-for-profit,FAC-018,5,3,4,3,Yes,The practical activities made the content immediately useful for my organizational role.,,The facilitator explained the concepts clearly with real-world case studies.
SYN-208-000118,2026-03-02T00:00:00,LF-605,Healthcare Innovation & Clinical Leadership,Face-to-face,Healthcare,FAC-027,3,3,5,4,No,The executive examples and industry insights were highly relevant and engaging.,,
SYN-208-000119,2025-12-26T00:00:00,LF-710,Defense Industry Governance & Strategy,Hybrid,Defense,FAC-040,4,4,5,2,Yes,The course materials were comprehensive and useful reference for our team.,The online workshop platform had a minor audio connectivity delay.,
SYN-208-000120,2026-04-05T00:00:00,LF-101,Executive Leadership & Team Performance,Face-to-face,Corporate,FAC-014,5,5,4,5,Yes,The executive examples and industry insights were highly relevant and engaging.,More practical exercises and workshop activities would have helped.,
